VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.256137e-01 4.272034e+00 1.000002e+00 9.972860e-01 9.998795e-01 1.000003e+00 1.193535e+00 3 0 -5.302793e-04 7.201076e-03 7.154675e-04 4.059162e-04 -6.485608e-03
2.021646e-01 4.519764e+00 1.000003e+00 9.988770e-01 9.999437e-01 1.000005e+00 1.194523e+00 3 0 -5.401071e-04 6.313132e-03 2.524787e-04 2.782489e-04 -6.060653e-03
-2.438628e-02 4.247606e+00 9.999958e-01 9.972470e-01 9.996972e-01 9.999940e-01 1.193404e+00 3 0 -6.279652e-04 7.298264e-03 6.177332e-04 8.630563e-04 -6.680531e-03
-4.783542e-02 4.495305e+00 9.999976e-01 9.988597e-01 9.998763e-01 9.999966e-01 1.194474e+00 3 0 -5.880970e-04 6.395791e-03 1.863751e-04 7.352395e-04 -6.209416e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.021646e-01 4.519764e+00 1.000001e+00 9.989358e-01 9.999495e-01 1.000001e+00 1.194562e+00 3 0 -2.190825e-04 2.977686e-03 2.617524e-04 1.751815e-04 -2.715934e-03
1.805537e-01 4.767666e+00 1.000001e+00 9.995853e-01 9.999782e-01 1.000002e+00 1.194967e+00 3 0 -2.196000e-04 2.558941e-03 8.524448e-05 1.194013e-04 -2.473696e-03
-4.783542e-02 4.495305e+00 9.999984e-01 9.989198e-01 9.998821e-01 9.999977e-01 1.194513e+00 3 0 -2.609343e-04 3.019464e-03 2.243174e-04 3.501513e-04 -2.795147e-03
-6.944627e-02 4.743186e+00 9.999991e-01 9.995785e-01 9.999548e-01 9.999987e-01 1.194950e+00 3 0 -2.390210e-04 2.593793e-03 6.034959e-05 2.943499e-04 -2.533443e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.805537e-01 4.767666e+00 1.000000e+00 9.996095e-01 9.999805e-01 1.000000e+00 1.194984e+00 3 0 -8.359727e-05 1.147560e-03 8.988684e-05 6.930772e-05 -1.057673e-03
1.616117e-01 5.015824e+00 1.000000e+00 9.998567e-01 9.999922e-01 1.000001e+00 1.195138e+00 3 0 -8.279943e-05 9.664126e-04 2.692355e-05 4.682580e-05 -9.394891e-04
-6.944627e-02 4.743186e+00 9.999994e-01 9.996032e-01 9.999572e-01 9.999991e-01 1.194966e+00 3 0 -1.003173e-04 1.164604e-03 7.643573e-05 1.319808e-04 -1.088168e-03
-8.838834e-02 4.991329e+00 9.999997e-01 9.998541e-01 9.999846e-01 9.999996e-01 1.195132e+00 3 0 -9.015715e-05 9.804150e-04 1.813331e-05 1.095213e-04 -9.622817e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.616117e-01 5.015824e+00 1.000000e+00 9.998659e-01 9.999931e-01 1.000000e+00 1.195144e+00 3 0 -2.939518e-05 4.124567e-04 2.896730e-05 2.520615e-05 -3.834894e-04
1.460663e-01 5.264309e+00 1.000000e+00 9.999536e-01 9.999974e-01 1.000000e+00 1.195199e+00 3 0 -2.896796e-05 3.403012e-04 7.953980e-06 1.680967e-05 -3.323472e-04
