VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 -3.975614e+00 9.999998e-01 1.000000e+00 1.000000e+00 9.999998e-01 1.195229e+00 2 0 4.948198e-08 3.360689e-07 2.754824e-07 4.963046e-07 -6.058651e-08
2.256137e-01 -3.727966e+00 9.999997e-01 1.000000e+00 1.000000e+00 9.999995e-01 1.195229e+00 2 0 7.654400e-08 3.511455e-07 3.827879e-07 5.039112e-07 3.164243e-08
-6.698724e-09 -4.000000e+00 9.999999e-01 1.000000e+00 1.000000e+00 9.999998e-01 1.195229e+00 2 0 5.338533e-08 3.094355e-07 2.813202e-07 3.902103e-07 -2.811528e-08
-2.438630e-02 -3.752394e+00 9.999998e-01 1.000000e+00 1.000000e+00 9.999997e-01 1.195229e+00 2 0 8.858678e-08 3.085138e-07 3.752478e-07 4.108296e-07 6.673406e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.256137e-01 -3.727966e+00 9.999997e-01 1.000000e+00 1.000000e+00 9.999995e-01 1.195229e+00 2 0 8.305284e-08 3.447190e-07 3.691228e-07 6.112973e-07 2.440381e-08
2.021646e-01 -3.480236e+00 9.999995e-01 1.000000e+00 1.000001e+00 9.999993e-01 1.195229e+00 2 0 3.636504e-08 4.148457e-07 4.177625e-07 5.424305e-07 2.916830e-09
-2.438630e-02 -3.752394e+00 9.999998e-01 1.000000e+00 1.000000e+00 9.999996e-01 1.195229e+00 2 0 8.692808e-08 3.794607e-07 3.549391e-07 5.766607e-07 -2.452158e-08
-4.783543e-02 -3.504695e+00 9.999996e-01 1.000000e+00 1.000000e+00 9.999995e-01 1.195229e+00 2 0 6.103381e-08 4.094153e-07 3.778497e-07 5.523843e-07 -3.156567e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.021646e-01 -3.480236e+00 9.999995e-01 1.000000e+00 1.000001e+00 9.999993e-01 1.195229e+00 2 0 8.396893e-08 1.300418e-07 4.306644e-07 2.222121e-07 3.006226e-07
1.805537e-01 -3.232334e+00 9.999995e-01 1.000000e+00 1.000001e+00 9.999993e-01 1.195229e+00 2 0 -1.684060e-07 2.820296e-07 1.976780e-07 8.437867e-09 -8.435162e-08
-4.783543e-02 -3.504695e+00 9.999996e-01 1.000000e+00 1.000000e+00 9.999995e-01 1.195229e+00 2 0 8.756614e-08 3.399318e-07 3.636344e-07 5.038642e-07 2.370259e-08
-6.944628e-02 -3.256814e+00 9.999995e-01 1.000000e+00 1.000001e+00 9.999993e-01 1.195229e+00 2 0 -1.318799e-07 4.290952e-07 9.201964e-08 3.716284e-07 -3.370756e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.805537e-01 -3.232334e+00 9.999995e-01 1.000000e+00 1.000001e+00 9.999993e-01 1.195229e+00 2 0 -4.154827e-08 -5.914504e-07 2.662849e-07 -1.160535e-06 8.577353e-07
1.616116e-01 -2.984176e+00 9.999998e-01 1.000000e+00 1.000000e+00 9.999997e-01 1.195229e+00 2 0 -6.943038e-07 -3.576001e-07 -5.878433e-07 -1.549823e-06 -2.302432e-07
-6.944628e-02 -3.256814e+00 9.999995e-01 1.000000e+00 1.000001e+00 9.999993e-01 1.195229e+00 2 0 -4.498767e-08 -3.027804e-08 1.010483e-07 -1.967038e-07 1.313263e-07
-8.838835e-02 -3.008671e+00 9.999996e-01 1.000000e+00 1.000000e+00 9.999994e-01 1.195229e+00 2 0 -6.544373e-07 1.286922e-07 -7.989007e-07 -4.892341e-07 -9.275929e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.616116e-01 -2.984176e+00 9.999998e-01 1.000000e+00 1.000000e+00 9.999998e-01 1.195229e+00 2 0 -4.603718e-07 -2.056292e-06 -4.341902e-07 -3.928427e-06 1.622102e-06
1.460663e-01 -2.735691e+00 1.000001e+00 9.999997e-01 9.999993e-01 1.000001e+00 1.195228e+00 2 0 -1.675049e-06 -1.917978e-06 -2.284366e-06 -4.372431e-06 -3.663879e-07
-8.838835e-02 -3.008671e+00 9.999996e-01 1.000000e+00 1.000000e+00 9.999994e-01 1.195229e+00 2 0 -4.750382e-07 -1.006967e-06 -7.337052e-07 -1.955179e-06 2.732621e-07
-1.039337e-01 -2.760192e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 -1.680770e-06 -7.996642e-07 -2.512794e-06 -2.381152e-06 -1.713130e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.460663e-01 -2.735691e+00 1.000001e+00 9.999998e-01 9.999992e-01 1.000001e+00 1.195228e+00 2 0 -1.456567e-06 -3.754447e-06 -2.073901e-06 -7.481038e-06 1.680546e-06
1.345151e-01 -2.486819e+00 1.000003e+00 9.999987e-01 9.999974e-01 1.000004e+00 1.195226e+00 2 0 -2.629911e-06 -4.445950e-06 -4.673929e-06 -7.360053e-06 -2.279789e-07
-1.039337e-01 -2.760192e+00 1.000000e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.195229e+00 2 0 -1.446617e-06 -2.681517e-06 -2.337029e-06 -4.964045e-06 3.444887e-07
-1.154849e-01 -2.511322e+00 1.000001e+00 9.999995e-01 9.999987e-01 1.000002e+00 1.195227e+00 2 0 -2.954580e-06 -2.656474e-06 -4.382288e-06 -5.314980e-06 -1.725813e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 -2.486819e+00 1.000003e+00 9.999987e-01 9.999974e-01 1.000004e+00 1.195226e+00 2 0 -3.010815e-06 -2.808499e-06 -4.558917e-06 -8.060652e-06 -1.750418e-06
1.274018e-01 -2.237513e+00 1.000004e+00 9.999978e-01 9.999956e-01 1.000006e+00 1.195224e+00 2 0 -1.153851e-06 -5.641635e-06 -5.049358e-06 -6.028003e-06 5.922773e-07
-1.154849e-01 -2.511322e+00 1.000001e+00 9.999995e-01 9.999987e-01 1.000002e+00 1.195227e+00 2 0 -3.006713e-06 -4.073295e-06 -3.992889e-06 -8.368896e-06 8.040632e-08
-1.225982e-01 -2.262017e+00 1.000003e+00 9.999984e-01 9.999967e-01 1.000004e+00 1.195225e+00 2 0 -2.347010e-06 -5.020437e-06 -3.057238e-06 -7.955907e-06 1.963199e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 -2.237513e+00 1.000004e+00 9.999976e-01 9.999957e-01 1.000006e+00 1.195224e+00 2 0 -3.286354e-06 7.198454e-06 -5.334219e-06 2.676149e-06 -1.253267e-05
1.250000e-01 -1.987748e+00 1.000003e+00 9.999991e-01 9.999967e-01 1.000004e+00 1.195225e+00 2 0 7.926981e-06 1.666611e-06 3.527219e-06 7.449753e-06 1.860609e-06
-1.225982e-01 -2.262017e+00 1.000003e+00 9.999984e-01 9.999967e-01 1.000005e+00 1.195225e+00 2 0 -3.517503e-06 -1.652094e-06 -2.384604e-06 -8.400154e-06 -7.325101e-07
-1.250000e-01 -2.012252e+00 1.000005e+00 9.999977e-01 9.999948e-01 1.000007e+00 1.195223e+00 2 0 5.599238e-06 -4.743045e-06 8.464482e-06 -6.205708e-06 1.320753e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e-01 -1.987748e+00 1.000003e+00 9.999984e-01 9.999972e-01 1.000004e+00 1.195225e+00 2 0 3.212804e-06 3.261132e-05 2.590136e-06 3.161584e-05 -3.002118e-05
1.274018e-01 -1.737513e+00 9.999940e-01 1.000007e+00 1.000005e+00 9.999916e-01 1.195237e+00 2 0 3.005141e-05 2.802716e-05 2.896767e-05 3.594232e-05 9.405139e-07
-1.250000e-01 -2.012252e+00 1.000005e+00 9.999975e-01 9.999949e-01 1.000007e+00 1.195223e+00 2 0 2.428828e-06 1.037150e-05 9.142210e-06 1.753111e-06 -1.229285e-06
-1.225982e-01 -1.762017e+00 1.000003e+00 9.999999e-01 9.999956e-01 1.000004e+00 1.195225e+00 2 0 2.783784e-05 5.365146e-06 3.594241e-05 5.455210e-06 3.057727e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 -1.737513e+00 9.999936e-01 1.000006e+00 1.000006e+00 9.999911e-01 1.195237e+00 2 0 2.465483e-05 6.815229e-05 2.782568e-05 6.516802e-05 -4.032662e-05
1.345151e-01 -1.486819e+00 9.999748e-01 1.000025e+00 1.000021e+00 9.999646e-01 1.195262e+00 2 0 6.284334e-05 7.317122e-05 6.652941e-05 6.008724e-05 -6.641809e-06
-1.225982e-01 -1.762017e+00 1.000003e+00 9.999993e-01 9.999960e-01 1.000004e+00 1.195225e+00 2 0 2.346065e-05 3.397984e-05 3.571390e-05 2.429777e-05 1.734058e-06
-1.154849e-01 -1.511322e+00 9.999945e-01 1.000009e+00 1.000002e+00 9.999923e-01 1.195236e+00 2 0 6.396343e-05 3.185487e-05 7.023253e-05 2.551453e-05 3.837766e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 -1.486819e+00 9.999746e-01 1.000024e+00 1.000022e+00 9.999644e-01 1.195262e+00 2 0 6.241801e-05 8.734439e-05 6.668924e-05 5.604298e-05 -2.065515e-05
1.460663e-01 -1.235691e+00 9.999539e-01 1.000049e+00 1.000035e+00 9.999354e-01 1.195290e+00 2 0 8.969082e-05 1.058465e-04 8.595879e-05 3.723393e-05 -1.988771e-05
-1.154849e-01 -1.511322e+00 9.999942e-01 1.000008e+00 1.000003e+00 9.999919e-01 1.195236e+00 2 0 6.228614e-05 5.739255e-05 6.830681e-05 4.090585e-05 1.091426e-05
-1.039337e-01 -1.260192e+00 9.999794e-01 1.000024e+00 1.000013e+00 9.999712e-01 1.195256e+00 2 0 9.638203e-05 6.511508e-05 7.930722e-05 3.392008e-05 1.419214e-05
