VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 5.762487e+00 1.000000e+00 9.999765e-01 9.999970e-01 1.000000e+00 1.195213e+00 3 0 -2.446267e-05 1.801181e-04 3.238563e-07 2.609444e-05 -1.797942e-04
-1.154849e-01 5.488678e+00 1.000000e+00 9.999355e-01 9.999877e-01 1.000000e+00 1.195183e+00 3 0 -4.412486e-05 2.020580e-04 5.717736e-06 3.758755e-05 -1.963403e-04
-1.225982e-01 5.737983e+00 1.000000e+00 9.999783e-01 9.999963e-01 1.000000e+00 1.195213e+00 3 0 -2.388913e-05 1.650103e-04 -8.097023e-07 3.380967e-05 -1.658200e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 5.762487e+00 1.000000e+00 9.999783e-01 9.999972e-01 1.000000e+00 1.195214e+00 3 0 -1.326792e-05 7.134796e-05 2.050761e-06 9.154185e-06 -6.929720e-05
1.250000e-01 6.012252e+00 1.000000e+00 9.999932e-01 9.999992e-01 1.000000e+00 1.195224e+00 3 0 -7.371255e-06 5.695086e-05 -6.388585e-08 7.765377e-06 -5.701474e-05
-1.225982e-01 5.737983e+00 1.000000e+00 9.999799e-01 9.999965e-01 1.000000e+00 1.195214e+00 3 0 -1.354990e-05 6.567991e-05 1.488178e-06 1.127789e-05 -6.419174e-05
-1.250000e-01 5.987748e+00 1.000000e+00 9.999936e-01 9.999990e-01 1.000000e+00 1.195224e+00 3 0 -7.222546e-06 5.247214e-05 -3.835987e-07 1.001918e-05 -5.285574e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e-01 6.012252e+00 1.000000e+00 9.999937e-01 9.999993e-01 1.000000e+00 1.195224e+00 3 0 -3.742386e-06 2.151788e-05 4.728840e-07 2.546118e-06 -2.104499e-05
1.274018e-01 6.262487e+00 1.000000e+00 9.999981e-01 9.999998e-01 1.000000e+00 1.195227e+00 3 0 -2.067977e-06 1.679646e-05 -7.239594e-08 2.115772e-06 -1.686885e-05
-1.250000e-01 5.987748e+00 1.000000e+00 9.999941e-01 9.999991e-01 1.000000e+00 1.195225e+00 3 0 -3.854435e-06 1.994892e-05 3.275839e-07 3.092170e-06 -1.962133e-05
-1.225982e-01 6.237983e+00 1.000000e+00 9.999982e-01 9.999998e-01 1.000000e+00 1.195227e+00 3 0 -2.035121e-06 1.558977e-05 -1.527658e-07 2.708336e-06 -1.574254e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 6.262487e+00 1.000000e+00 9.999983e-01 9.999998e-01 1.000000e+00 1.195227e+00 3 0 -9.737900e-07 6.050461e-06 8.114749e-08 6.467743e-07 -5.969313e-06
1.345151e-01 6.513181e+00 1.000000e+00 9.999995e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -5.396233e-07 4.618101e-06 -3.775859e-08 5.238602e-07 -4.655860e-06
-1.225982e-01 6.237983e+00 1.000000e+00 9.999984e-01 9.999998e-01 1.000000e+00 1.195228e+00 3 0 -1.012985e-06 5.658961e-06 4.933910e-08 7.635965e-07 -5.609622e-06
-1.154849e-01 6.488678e+00 1.000000e+00 9.999995e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -5.340199e-07 4.325794e-06 -5.475913e-08 6.577686e-07 -4.380553e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 6.513181e+00 1.000000e+00 9.999996e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -2.328103e-07 1.584582e-06 2.619467e-09 1.488909e-07 -1.581962e-06
1.460663e-01 6.764309e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.307994e-07 1.182521e-06 -1.566656e-08 1.165988e-07 -1.198188e-06
-1.154849e-01 6.488678e+00 1.000000e+00 9.999996e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -2.450629e-07 1.497989e-06 -2.396055e-09 1.652265e-07 -1.500385e-06
-1.039337e-01 6.739808e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.303462e-07 1.120053e-06 -1.817787e-08 1.394408e-07 -1.138231e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
