VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.944628e-02 -3.256814e+00 9.999996e-01 1.000000e+00 1.000000e+00 9.999994e-01 1.195229e+00 2 0 6.828112e-08 1.502212e-07 2.606097e-07 -7.558434e-08 1.103885e-07
-8.838835e-02 -3.008671e+00 9.999996e-01 1.000000e+00 1.000000e+00 9.999994e-01 1.195229e+00 2 0 -3.701841e-07 2.766513e-07 -4.209724e-07 -2.897645e-07 -6.976237e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.616116e-01 -2.984176e+00 9.999998e-01 1.000000e+00 1.000000e+00 9.999997e-01 1.195229e+00 2 0 -2.188627e-07 -1.482616e-06 -1.293697e-07 -2.920458e-06 1.353246e-06
1.460663e-01 -2.735691e+00 1.000000e+00 9.999999e-01 9.999996e-01 1.000001e+00 1.195228e+00 2 0 -1.234234e-06 -1.274592e-06 -1.588500e-06 -3.333825e-06 -3.139076e-07
-8.838835e-02 -3.008671e+00 9.999996e-01 1.000000e+00 1.000000e+00 9.999994e-01 1.195229e+00 2 0 -2.250111e-07 -6.080754e-07 -3.852910e-07 -1.330263e-06 2.227844e-07
-1.039337e-01 -2.760192e+00 9.999999e-01 1.000000e+00 1.000000e+00 9.999999e-01 1.195229e+00 2 0 -1.197150e-06 -4.217576e-07 -1.848192e-06 -1.679659e-06 -1.426434e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.460663e-01 -2.735691e+00 1.000000e+00 1.000000e+00 9.999995e-01 1.000001e+00 1.195228e+00 2 0 -9.734756e-07 -3.284025e-06 -1.401210e-06 -6.179718e-06 1.882815e-06
1.345151e-01 -2.486819e+00 1.000002e+00 9.999991e-01 9.999980e-01 1.000003e+00 1.195226e+00 2 0 -2.364140e-06 -3.503253e-06 -3.837887e-06 -6.375327e-06 -3.346331e-07
-1.039337e-01 -2.760192e+00 9.999999e-01 1.000000e+00 1.000000e+00 9.999999e-01 1.195229e+00 2 0 -9.679274e-07 -2.054908e-06 -1.731696e-06 -3.719390e-06 3.232120e-07
-1.154849e-01 -2.511322e+00 1.000001e+00 9.999997e-01 9.999992e-01 1.000001e+00 1.195228e+00 2 0 -2.501839e-06 -1.900440e-06 -3.850754e-06 -4.105934e-06 -1.950314e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 -2.486819e+00 1.000002e+00 9.999991e-01 9.999980e-01 1.000003e+00 1.195226e+00 2 0 -2.385916e-06 -4.047917e-06 -3.662603e-06 -8.592805e-06 3.853143e-07
1.274018e-01 -2.237513e+00 1.000004e+00 9.999980e-01 9.999960e-01 1.000005e+00 1.195224e+00 2 0 -2.362462e-06 -5.728487e-06 -5.694663e-06 -7.617437e-06 3.382320e-08
-1.154849e-01 -2.511322e+00 1.000001e+00 9.999998e-01 9.999991e-01 1.000001e+00 1.195228e+00 2 0 -2.363470e-06 -3.846313e-06 -3.575040e-06 -7.017592e-06 2.712724e-07
-1.225982e-01 -2.262017e+00 1.000002e+00 9.999988e-01 9.999974e-01 1.000003e+00 1.195226e+00 2 0 -3.153515e-06 -4.203522e-06 -4.541485e-06 -7.054707e-06 -3.379625e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 -2.237513e+00 1.000004e+00 9.999979e-01 9.999960e-01 1.000005e+00 1.195224e+00 2 0 -3.547500e-06 8.448754e-07 -5.735642e-06 -4.386663e-06 -6.580517e-06
1.250000e-01 -1.987748e+00 1.000005e+00 9.999978e-01 9.999952e-01 1.000006e+00 1.195223e+00 2 0 2.687979e-06 -3.293516e-06 -2.421471e-06 -1.130369e-06 8.720458e-07
-1.225982e-01 -2.262017e+00 1.000003e+00 9.999988e-01 9.999974e-01 1.000004e+00 1.195226e+00 2 0 -3.690071e-06 -3.869172e-06 -3.994950e-06 -9.237167e-06 -1.257786e-07
-1.250000e-01 -2.012252e+00 1.000005e+00 9.999976e-01 9.999952e-01 1.000006e+00 1.195223e+00 2 0 7.429932e-07 -5.768021e-06 1.161717e-06 -8.110680e-06 6.929738e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e-01 -1.987748e+00 1.000005e+00 9.999974e-01 9.999955e-01 1.000006e+00 1.195223e+00 2 0 -6.649234e-07 1.771620e-05 -2.927804e-06 1.397820e-05 -2.064401e-05
