VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
8.838834e-02 -4.991329e+00 9.999998e-01 1.000003e+00 1.000002e+00 9.999999e-01 1.195231e+00 2 0 3.092563e-05 -1.591373e-05 -3.995715e-05 1.267984e-05 -2.404342e-05
6.944627e-02 -4.743186e+00 1.000004e+00 9.999993e-01 1.000005e+00 1.000005e+00 1.195230e+00 2 0 9.271853e-06 -1.272321e-05 -1.229493e-05 8.544922e-06 4.282818e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 -4.718966e+00 1.000001e+00 1.000001e+00 1.000002e+00 1.000002e+00 1.195230e+00 2 0 8.948407e-06 -9.350934e-06 -8.566091e-06 9.419105e-06 7.848429e-07
2.978354e-01 -4.471026e+00 1.000003e+00 9.999992e-01 1.000004e+00 1.000004e+00 1.195230e+00 2 0 8.290498e-07 -5.716038e-06 7.532573e-07 4.172892e-06 6.469295e-06
6.944627e-02 -4.743186e+00 1.000004e+00 9.999991e-01 1.000005e+00 1.000005e+00 1.195230e+00 2 0 7.058560e-06 -7.823979e-07 -9.596557e-06 -3.609017e-06 -8.814159e-06
4.783542e-02 -4.495305e+00 1.000003e+00 9.999991e-01 1.000004e+00 1.000004e+00 1.195230e+00 2 0 -1.415487e-07 9.989715e-07 8.566300e-07 -5.974810e-06 -1.423416e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 -4.471026e+00 1.000003e+00 9.999991e-01 1.000004e+00 1.000004e+00 1.195230e+00 2 0 -2.563295e-07 1.190456e-06 2.116038e-06 -4.035384e-06 9.255817e-07
2.743863e-01 -4.223270e+00 1.000002e+00 9.999996e-01 1.000002e+00 1.000003e+00 1.195229e+00 2 0 -1.031916e-06 2.649988e-06 2.574932e-06 -6.357482e-06 -7.505579e-08
4.783542e-02 -4.495305e+00 1.000003e+00 9.999991e-01 1.000004e+00 1.000004e+00 1.195230e+00 2 0 -6.571907e-07 2.358599e-06 1.500472e-06 -6.239609e-06 -8.581273e-07
2.438628e-02 -4.247606e+00 1.000001e+00 9.999998e-01 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.022272e-06 2.777002e-06 2.532556e-06 -6.771357e-06 -2.444464e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 -4.223270e+00 1.000002e+00 9.999996e-01 1.000002e+00 1.000003e+00 1.195229e+00 2 0 -1.000387e-06 2.005322e-06 2.438763e-06 -4.754824e-06 4.334411e-07
2.500000e-01 -3.975614e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.552703e-08 2.072631e-06 8.825882e-07 -4.915308e-06 -1.190043e-06
2.438628e-02 -4.247606e+00 1.000001e+00 9.999998e-01 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -8.798283e-07 1.129807e-06 2.270590e-06 -3.530134e-06 1.140783e-06
-6.698724e-09 -4.000000e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.202642e-07 9.259284e-07 8.553669e-07 -3.174405e-06 -7.056149e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 -3.975614e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.501134e-07 4.819496e-07 4.583919e-07 -1.799699e-06 -2.355769e-08
2.256137e-01 -3.727966e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 8.337650e-07 1.637118e-07 -2.759289e-07 -1.257205e-06 -4.396407e-07
-6.698724e-09 -4.000000e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 3.928238e-07 -1.024973e-07 5.215238e-07 -8.832102e-07 6.240211e-07
-2.438630e-02 -3.752394e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 9.343472e-07 -3.479013e-07 -2.453330e-07 -4.539785e-07 1.025683e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.256137e-01 -3.727966e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 9.235464e-07 -2.995703e-07 -4.917373e-07 2.015949e-07 -1.921670e-07
2.021646e-01 -3.480236e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 8.735295e-07 -4.805930e-07 -2.763127e-07 5.799267e-07 2.042803e-07
-2.438630e-02 -3.752394e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 9.716058e-07 -2.819713e-07 -3.813926e-07 1.700716e-07 -9.942128e-08
-4.783543e-02 -3.504695e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 8.802135e-07 -3.687766e-07 -2.264870e-07 3.592416e-07 1.422895e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.021646e-01 -3.480236e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 8.575720e-07 -1.991338e-07 -2.786070e-07 4.842547e-07 -7.947314e-08
1.805537e-01 -3.232334e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 5.181193e-07 -1.543025e-07 1.614093e-07 5.010473e-07 3.157119e-07
-4.783543e-02 -3.504695e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 8.429045e-07 1.107722e-07 -2.184914e-07 1.175714e-07 -3.292636e-07
-6.944628e-02 -3.256814e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 5.032378e-07 1.629431e-07 1.716698e-07 8.290243e-08 8.726680e-09
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.805537e-01 -3.232334e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 5.131603e-07 -1.748739e-08 2.469256e-07 -3.531577e-07 2.644130e-07
1.616116e-01 -2.984176e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 3.931101e-08 1.673169e-07 2.871865e-07 -5.982090e-07 1.198696e-07
-6.944628e-02 -3.256814e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 4.865128e-07 4.095950e-07 2.152198e-07 -3.608696e-07 -1.943752e-07
-8.838835e-02 -3.008671e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 4.591387e-08 5.384199e-07 2.125143e-07 -5.403505e-07 -3.259056e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.616116e-01 -2.984176e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 1.248756e-07 -4.273116e-07 3.943862e-07 -1.912728e-06 8.216978e-07
1.460663e-01 -2.735691e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.000001e+00 1.195229e+00 2 0 -5.962939e-07 -1.807404e-07 -3.079425e-07 -2.287756e-06 -1.272021e-07
-8.838835e-02 -3.008671e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 1.057326e-07 2.067109e-07 2.482746e-07 -1.136051e-06 4.156373e-08
-1.039337e-01 -2.760192e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 -5.616668e-07 3.708972e-07 -5.047863e-07 -1.408564e-06 -8.756834e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.460663e-01 -2.735691e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.195229e+00 2 0 -3.884762e-07 -1.728426e-06 -1.737190e-07 -4.230038e-06 1.554707e-06
