VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-2.309699e-01 5.454897e+00 9.999827e-01 9.998296e-01 9.999243e-01 9.999755e-01 1.195086e+00 3 0 -1.284110e-04 4.584887e-04 -8.559441e-06 1.402787e-04 -4.670481e-04
-2.500000e-01 5.951227e+00 9.999935e-01 9.999847e-01 9.999893e-01 9.999911e-01 1.195215e+00 3 0 -4.548598e-05 2.448174e-04 -4.301520e-05 1.302818e-04 -2.878326e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 6.048773e+00 9.999873e-01 9.999892e-01 9.999834e-01 9.999824e-01 1.195215e+00 3 0 -3.816838e-06 3.582635e-05 -2.554773e-05 4.365639e-05 -6.137408e-05
2.690301e-01 6.552432e+00 9.999996e-01 1.000000e+00 9.999996e-01 9.999994e-01 1.195229e+00 3 0 -8.226541e-07 1.544320e-05 -9.985174e-06 2.884381e-05 -2.542838e-05
-2.500000e-01 5.951227e+00 9.999953e-01 9.999878e-01 9.999912e-01 9.999936e-01 1.195217e+00 3 0 -4.144659e-06 3.501056e-05 -2.039121e-05 2.841857e-05 -5.540177e-05
-2.309699e-01 6.454897e+00 1.000001e+00 9.999993e-01 1.000002e+00 1.000002e+00 1.195229e+00 3 0 -1.444337e-06 1.747019e-05 -7.924219e-06 1.889754e-05 -2.539441e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.690301e-01 6.552432e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 1.831185e-06 -2.368391e-08 -4.208376e-06 3.008956e-06 -4.184692e-06
3.232233e-01 7.062785e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 2.845771e-07 -4.210574e-07 -1.080023e-06 -1.840333e-06 -6.589655e-07
-2.309699e-01 6.454897e+00 1.000002e+00 9.999995e-01 1.000002e+00 1.000002e+00 1.195229e+00 3 0 1.464071e-06 1.779438e-06 -3.717849e-06 -3.927807e-07 -5.497287e-06
-1.767767e-01 6.965401e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 3 0 4.376935e-07 6.515016e-07 -6.713490e-07 -3.702236e-06 -1.322851e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.232233e-01 7.062785e+00 9.999999e-01 1.000000e+00 9.999999e-01 9.999998e-01 1.195229e+00 3 0 2.673238e-07 -5.396639e-07 -1.384009e-06 -6.255712e-07 -8.443453e-07
4.043291e-01 7.578062e+00 9.999999e-01 1.000000e+00 9.999999e-01 9.999998e-01 1.195229e+00 3 0 1.226170e-07 -4.999551e-07 -3.599403e-07 4.839226e-07 1.400148e-07
-1.767767e-01 6.965401e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 3 0 5.613112e-07 -2.477070e-07 -9.961150e-07 -1.796983e-06 -7.484081e-07
-9.567088e-02 7.481233e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 7.456944e-08 -2.003397e-07 3.826213e-09 -9.602020e-07 2.041660e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
4.043291e-01 7.578062e+00 9.999999e-01 1.000000e+00 9.999999e-01 9.999999e-01 1.195229e+00 3 0 4.921820e-08 -1.190301e-07 -2.242501e-07 4.300856e-07 -1.052200e-07
5.000000e-01 8.095671e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 2.025804e-09 -4.659337e-09 3.534212e-08 7.878457e-08 4.000145e-08
-9.567088e-02 7.481233e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 1.643113e-08 -4.999516e-08 -1.013950e-07 4.484835e-08 -5.139980e-08
-2.679490e-08 8.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.298957e-08 2.489243e-09 1.628691e-08 7.568582e-08 1.379766e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.000000e+00 1.767767e-01 8.150081e-01 1.754632e+00 8.635116e-01 7.481364e-01 1.725072e+00 3 0 3.548527e-01 -2.712991e-01 5.184978e-01 1.996131e-02 7.897969e-01
1.095671e+00 6.895483e-01 5.987394e-01 1.573134e+00 8.837471e-01 4.977930e-01 1.672464e+00 3 0 2.016370e-01 -5.300763e-01 1.073702e+00 -2.845042e-01 1.603779e+00
5.000000e-01 9.567086e-02 8.943681e-01 1.627294e+00 6.294771e-01 8.507285e-01 1.511974e+00 3 0 2.941178e-01 -1.745299e-01 4.286864e-01 -2.940958e-01 6.032163e-01
5.956709e-01 6.127396e-01 7.277215e-01 1.525683e+00 4.666683e-01 6.410365e-01 1.436689e+00 3 0 1.703613e-01 -2.712056e-01 7.382592e-01 -5.703133e-01 1.009465e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.095671e+00 6.895483e-01 5.965380e-01 1.581276e+00 8.569753e-01 4.907897e-01 1.675844e+00 3 0 2.636345e-01 -8.971442e-01 9.179188e-01 2.353957e-02 1.815063e+00
1.176777e+00 1.199541e+00 4.673089e-01 1.024021e+00 9.891235e-01 3.580998e-01 1.374552e+00 3 0 -6.816007e-02 -1.327413e+00 1.438226e+00 -1.341695e-02 2.765639e+00
5.956709e-01 6.127396e-01 7.097164e-01 1.535371e+00 4.598395e-01 6.195838e-01 1.449756e+00 3 0 2.412461e-01 -7.502377e-01 6.607980e-01 -1.256974e-01 1.411036e+00
6.767767e-01 1.126715e+00 5.869286e-01 1.076451e+00 4.184649e-01 4.822293e-01 1.076854e+00 3 0 5.322972e-02 -1.063900e+00 9.624017e-01 -4.061388e-01 2.026302e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.176777e+00 1.199541e+00 4.656292e-01 1.042396e+00 9.426938e-01 3.479911e-01 1.373992e+00 3 0 -4.634162e-02 -1.363465e+00 1.477506e+00 -1.171440e-01 2.840971e+00
1.230970e+00 1.705768e+00 5.868430e-01 4.394818e-01 1.029155e+00 4.847527e-01 1.040619e+00 3 0 -1.286321e-01 -1.044614e+00 1.090611e+00 7.466647e-02 2.135224e+00
6.767767e-01 1.126715e+00 5.837038e-01 1.081686e+00 3.730254e-01 4.716601e-01 1.075770e+00 3 0 8.036777e-02 -1.116809e+00 8.706791e-01 9.803198e-02 1.987488e+00
7.309699e-01 1.635770e+00 6.351236e-01 5.316558e-01 5.237524e-01 5.342574e-01 6.877134e-01 3 0 -6.938651e-02 -1.060962e+00 9.062478e-01 1.642828e-01 1.967210e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.230970e+00 1.705768e+00 5.885059e-01 4.172830e-01 1.024967e+00 4.824217e-01 1.033022e+00 3 0 -2.330613e-01 -4.469141e-01 1.166319e+00 -7.679513e-02 1.613233e+00
1.250000e+00 2.207867e+00 8.002705e-01 2.508658e-01 1.028337e+00 7.355453e-01 9.331217e-01 3 0 -1.131772e-01 -3.273559e-01 7.353054e-01 2.003067e-02 1.062661e+00
7.309699e-01 1.635770e+00 6.394369e-01 5.136348e-01 5.004183e-01 5.328792e-01 6.639006e-01 3 0 -1.527985e-01 -4.878189e-01 9.144207e-01 2.903207e-01 1.402240e+00
7.500000e-01 2.138893e+00 8.079369e-01 3.143031e-01 6.718825e-01 7.387608e-01 6.555986e-01 3 0 -9.910325e-02 -4.044144e-01 6.506472e-01 3.022339e-01 1.055062e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e+00 2.207867e+00 8.034274e-01 2.209483e-01 1.037548e+00 7.375372e-01 9.357418e-01 3 0 -1.914189e-01 2.513023e-01 7.489175e-01 -1.584296e-02 4.976152e-01
1.230970e+00 2.705768e+00 9.389976e-01 3.745627e-01 1.009141e+00 9.213165e-01 9.184218e-01 3 0 -1.037791e-01 2.818335e-01 4.253133e-01 -2.345474e-02 1.434798e-01
7.500000e-01 2.138893e+00 8.110528e-01 2.840717e-01 6.766048e-01 7.399420e-01 6.493082e-01 3 0 -1.773374e-01 1.688318e-01 6.584499e-01 3.265986e-01 4.896181e-01
7.309699e-01 2.635770e+00 9.314991e-01 4.045702e-01 8.056833e-01 9.059631e-01 7.726174e-01 3 0 -1.052029e-01 2.276023e-01 3.588005e-01 2.589758e-01 1.311982e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.230970e+00 2.705768e+00 9.391181e-01 3.669896e-01 1.015379e+00 9.195204e-01 9.221559e-01 3 0 -1.340070e-01 5.108820e-01 4.202162e-01 2.184214e-02 -9.066572e-02
1.176777e+00 3.199541e+00 9.876158e-01 6.368464e-01 9.939538e-01 9.865847e-01 9.982033e-01 3 0 -9.694551e-02 5.599115e-01 1.939989e-01 -2.462950e-02 -3.659126e-01
7.309699e-01 2.635770e+00 9.338114e-01 3.963670e-01 8.122305e-01 9.074781e-01 7.748400e-01 3 0 -1.359848e-01 4.595928e-01 3.581844e-01 2.564626e-01 -1.014083e-01
6.767767e-01 3.126715e+00 9.781082e-01 6.439731e-01 9.042698e-01 9.723704e-01 9.410016e-01 3 0 -9.200704e-02 5.251575e-01 1.428842e-01 1.932864e-01 -3.822733e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.176777e+00 3.199541e+00 9.866366e-01 6.457993e-01 9.957698e-01 9.833174e-01 1.004763e+00 3 0 -7.810151e-02 4.259723e-01 1.858483e-01 2.532037e-02 -2.401240e-01
1.095671e+00 3.689548e+00 9.970986e-01 8.489772e-01 9.902758e-01 9.957044e-01 1.103174e+00 3 0 -6.694153e-02 4.146998e-01 6.499557e-02 -9.891994e-04 -3.497043e-01
6.767767e-01 3.126715e+00 9.801206e-01 6.529671e-01 9.069099e-01 9.735707e-01 9.476488e-01 3 0 -7.511068e-02 4.128799e-01 1.482981e-01 1.440552e-01 -2.645818e-01
5.956709e-01 3.612740e+00 9.927323e-01 8.482901e-01 9.601671e-01 9.898831e-01 1.084383e+00 3 0 -5.925245e-02 4.052964e-01 3.886144e-02 1.143138e-01 -3.664349e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.095671e+00 3.689548e+00 9.959873e-01 8.573089e-01 9.910120e-01 9.937769e-01 1.108700e+00 3 0 -3.710033e-02 2.154658e-01 6.067188e-02 2.111881e-02 -1.547940e-01
1.000000e+00 4.176777e+00 9.987650e-01 9.528020e-01 9.947920e-01 9.980468e-01 1.164599e+00 3 0 -3.062142e-02 1.882829e-01 1.496807e-02 1.235430e-02 -1.733149e-01
5.956709e-01 3.612740e+00 9.937314e-01 8.569835e-01 9.613237e-01 9.908275e-01 1.090028e+00 3 0 -3.118824e-02 2.182191e-01 4.570790e-02 6.524122e-02 -1.725112e-01
5.000000e-01 4.095671e+00 9.978342e-01 9.517671e-01 9.869056e-01 9.967120e-01 1.159421e+00 3 0 -2.942520e-02 1.889762e-01 5.585340e-03 5.506017e-02 -1.833909e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
