VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.690301e-01 6.552432e+00 9.999999e-01 9.999999e-01 9.999999e-01 9.999999e-01 1.195228e+00 3 0 1.119366e-07 3.913587e-07 -4.264452e-07 5.359714e-07 -8.178040e-07
3.232233e-01 7.062785e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -6.213745e-08 2.210220e-07 -3.854329e-08 7.505669e-08 -2.595652e-07
-2.309699e-01 6.454897e+00 1.000000e+00 9.999998e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -1.113807e-09 7.042341e-07 -2.110195e-07 9.983306e-08 -9.152536e-07
-1.767767e-01 6.965401e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -5.053071e-08 3.056592e-07 -3.903201e-08 -3.453070e-08 -3.446912e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.232233e-01 7.062785e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.625340e-08 1.746620e-08 -3.016090e-08 -4.480447e-09 -4.762710e-08
4.043291e-01 7.578062e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 4.812823e-09 -2.832485e-09 -1.457313e-08 3.812917e-08 -1.174064e-08
-1.767767e-01 6.965401e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 1.206133e-08 -1.633371e-09 -4.513938e-08 -2.226124e-08 -4.350601e-08
-9.567088e-02 7.481233e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 2.115744e-09 3.003695e-09 -1.226550e-09 -9.390639e-09 -4.230245e-09
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
4.043291e-01 7.578062e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 4.055546e-09 -3.251372e-09 -5.726619e-09 1.573894e-08 -2.475247e-09
5.000000e-01 8.095671e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -9.272117e-10 1.286902e-09 2.150411e-09 -1.959901e-09 8.635085e-10
-9.567088e-02 7.481233e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -9.929856e-11 3.912072e-09 1.000524e-09 3.317025e-09 -2.911547e-09
-2.679490e-08 8.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.364476e-09 1.885665e-09 6.959244e-10 2.678910e-09 -1.189740e-09
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.000000e+00 1.767767e-01 6.499204e-01 1.649853e+00 1.173166e+00 5.463759e-01 1.866053e+00 3 0 8.914135e-02 -7.787550e-01 1.045319e+00 6.988216e-02 1.824074e+00
1.095671e+00 6.895483e-01 5.158896e-01 1.153744e+00 1.371786e+00 4.064808e-01 1.706650e+00 3 0 1.705692e-02 -1.180958e+00 1.152132e+00 2.772290e-01 2.333090e+00
5.000000e-01 9.567086e-02 6.833482e-01 1.675004e+00 6.878266e-01 5.820959e-01 1.658111e+00 3 0 1.038729e-01 -6.441859e-01 8.667411e-01 1.096625e-02 1.510927e+00
5.956709e-01 6.127396e-01 4.986742e-01 1.221684e+00 7.538166e-01 3.832149e-01 1.384000e+00 3 0 -3.465406e-02 -1.134160e+00 1.331878e+00 -3.270127e-01 2.466037e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.095671e+00 6.895483e-01 5.044757e-01 1.172872e+00 1.362515e+00 3.857768e-01 1.737516e+00 3 0 1.441521e-02 -1.274202e+00 1.456243e+00 -1.710553e-01 2.730445e+00
1.176777e+00 1.199541e+00 5.995463e-01 5.804675e-01 1.419612e+00 4.992901e-01 1.420404e+00 3 0 1.777204e-01 -1.087208e+00 1.009884e+00 8.232574e-03 2.097092e+00
5.956709e-01 6.127396e-01 5.053941e-01 1.235614e+00 6.865963e-01 3.808118e-01 1.376292e+00 3 0 6.398822e-03 -1.263455e+00 1.306647e+00 -1.057916e-02 2.570102e+00
6.767767e-01 1.126715e+00 5.208246e-01 5.656996e-01 8.863229e-01 4.079704e-01 1.004069e+00 3 0 1.019171e-01 -1.352105e+00 1.148031e+00 2.156221e-01 2.500136e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.176777e+00 1.199541e+00 5.948905e-01 5.620938e-01 1.435327e+00 4.893376e-01 1.436428e+00 3 0 8.835167e-02 -6.306311e-01 1.155583e+00 -3.636417e-01 1.786214e+00
1.230970e+00 1.705768e+00 7.985590e-01 3.226269e-01 1.323763e+00 7.342831e-01 1.200875e+00 3 0 2.031165e-01 -4.631415e-01 7.795582e-01 -2.548670e-01 1.242700e+00
6.767767e-01 1.126715e+00 5.257227e-01 5.584512e-01 8.582072e-01 4.065184e-01 9.840907e-01 3 0 -2.003097e-02 -7.502773e-01 1.265676e+00 -1.032444e-02 2.015953e+00
7.309699e-01 1.635770e+00 7.245816e-01 2.533148e-01 9.506438e-01 6.367444e-01 8.869733e-01 3 0 1.617114e-01 -5.850800e-01 7.816452e-01 1.106629e-01 1.366725e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.230970e+00 1.705768e+00 8.073545e-01 2.928306e-01 1.327463e+00 7.436716e-01 1.197065e+00 3 0 1.333356e-01 1.277348e-01 7.848722e-01 -3.561430e-01 6.571375e-01
1.250000e+00 2.207867e+00 9.385465e-01 3.907970e-01 1.184160e+00 9.203062e-01 1.064282e+00 3 0 1.600249e-01 1.741035e-01 4.771403e-01 -2.570284e-01 3.030369e-01
7.309699e-01 1.635770e+00 7.298873e-01 2.181611e-01 9.560009e-01 6.405810e-01 8.846240e-01 3 0 7.568944e-02 9.790565e-02 7.979105e-01 1.138248e-02 7.000049e-01
7.500000e-01 2.138893e+00 8.961378e-01 3.010475e-01 9.721304e-01 8.583902e-01 8.788021e-01 3 0 1.439759e-01 1.251956e-01 4.313152e-01 3.216148e-02 3.061196e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e+00 2.207867e+00 9.380722e-01 3.807527e-01 1.188057e+00 9.174677e-01 1.066170e+00 3 0 1.282849e-01 4.720855e-01 4.630368e-01 -2.050224e-01 -9.048702e-03
1.230970e+00 2.705768e+00 9.873730e-01 6.262562e-01 1.076755e+00 9.860045e-01 1.053481e+00 3 0 7.662438e-02 5.154482e-01 2.328679e-01 -2.064770e-01 -2.825803e-01
7.500000e-01 2.138893e+00 8.971391e-01 2.857180e-01 9.798651e-01 8.579370e-01 8.821129e-01 3 0 1.043471e-01 5.043394e-01 4.218422e-01 4.428158e-02 -8.249721e-02
7.309699e-01 2.635770e+00 9.694886e-01 5.500476e-01 9.816940e-01 9.614092e-01 9.550306e-01 3 0 7.696431e-02 5.485178e-01 1.919274e-01 9.242320e-03 -3.565904e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.230970e+00 2.705768e+00 9.839841e-01 6.325326e-01 1.077838e+00 9.794368e-01 1.058666e+00 3 0 8.776933e-02 4.339725e-01 2.124561e-01 -8.852369e-02 -2.215164e-01
1.176777e+00 3.199541e+00 9.987581e-01 8.332773e-01 1.022349e+00 9.983774e-01 1.114903e+00 3 0 1.794662e-02 4.177438e-01 8.757432e-02 -9.914489e-02 -3.301695e-01
7.309699e-01 2.635770e+00 9.691772e-01 5.560678e-01 9.848921e-01 9.588476e-01 9.610280e-01 3 0 8.352512e-02 5.064649e-01 1.839669e-01 3.765724e-02 -3.224980e-01
6.767767e-01 3.126715e+00 9.943045e-01 7.913638e-01 9.885501e-01 9.924550e-01 1.071206e+00 3 0 1.303163e-02 4.938877e-01 6.727780e-02 1.484418e-02 -4.266099e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.176777e+00 3.199541e+00 9.963731e-01 8.404966e-01 1.023276e+00 9.946381e-01 1.120136e+00 3 0 4.088082e-02 2.378545e-01 7.474928e-02 -2.344016e-02 -1.631052e-01
1.095671e+00 3.689548e+00 1.000582e+00 9.427237e-01 1.004711e+00 1.000695e+00 1.164339e+00 3 0 -2.570955e-03 2.084039e-01 2.612127e-02 -3.219086e-02 -1.822826e-01
6.767767e-01 3.126715e+00 9.938864e-01 8.005459e-01 9.901469e-01 9.911683e-01 1.077600e+00 3 0 3.718776e-02 2.958352e-01 6.489730e-02 2.508327e-02 -2.309379e-01
5.956709e-01 3.612740e+00 1.000143e+00 9.273664e-01 9.948565e-01 9.999799e-01 1.149549e+00 3 0 -1.124772e-02 2.601337e-01 1.833935e-02 1.355734e-02 -2.417944e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.095671e+00 3.689548e+00 9.995195e-01 9.467130e-01 1.005450e+00 9.992054e-01 1.167352e+00 3 0 1.284829e-02 9.447039e-02 2.093403e-02 -3.337548e-03 -7.353635e-02
1.000000e+00 4.176777e+00 1.000284e+00 9.849697e-01 1.000600e+00 1.000380e+00 1.186584e+00 3 0 -4.227825e-03 7.547000e-02 6.220625e-03 -9.200566e-03 -6.924937e-02
5.956709e-01 3.612740e+00 9.996626e-01 9.326123e-01 9.958610e-01 9.992977e-01 1.153313e+00 3 0 7.819911e-03 1.192406e-01 1.808888e-02 1.229178e-02 -1.011518e-01
